ID_inmersion,Profundidad_maxima_m,Tiempo_fondo_min,Temperatura_agua_C,Consumo_aire_bar,Ritmo_cardiaco_bpm,Nivel_experiencia,Condiciones_mar,Tipo_gas,Paradas_seguridad,Ascenso_controlado,Inmersion_segura
26,33.2,50.0,29.3,103.8,97.1,Intermedio,Agitado,Aire,Sí,No,No
27,23.9,85.5,23.9,185.7,71.9,Intermedio,Calmado,Nitrox,No,Sí,No
28,32.2,68.8,24.0,214.3,75.9,Intermedio,Calmado,Aire,Sí,No,No
29,30.0,75.9,23.0,200.9,75.9,Avanzado,Moderado,Nitrox,Sí,Sí,No
30,16.6,22.5,19.3,45.2,75.7,Principiante,Calmado,Aire,Sí,Sí,Sí
31,18.8,56.6,25.4,52.1,72.5,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
32,28.2,88.3,20.3,158.1,85.9,Intermedio,Calmado,Nitrox,Sí,Sí,No
33,24.3,78.5,23.9,133.0,73.5,Principiante,Calmado,Aire,Sí,Sí,Sí
34,23.4,86.8,24.8,133.8,72.2,Avanzado,Calmado,Aire,Sí,Sí,Sí
35,18.5,23.2,10.8,32.1,74.1,Avanzado,Moderado,Aire,Sí,Sí,Sí
36,20.8,47.9,22.3,76.8,70.9,Intermedio,Moderado,Aire,Sí,Sí,Sí
37,19.9,24.9,22.8,50.8,71.7,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
38,23.6,85.9,17.7,124.5,98.1,Intermedio,Agitado,Aire,Sí,Sí,Sí
39,6.9,67.8,11.4,47.4,86.9,Principiante,Calmado,Aire,Sí,Sí,Sí
40,18.9,64.0,27.5,105.3,86.1,Principiante,Moderado,Aire,Sí,Sí,Sí
41,31.5,46.0,25.5,123.7,78.6,Avanzado,Calmado,Aire,Sí,Sí,Sí
42,42.1,55.4,26.5,129.5,77.9,Avanzado,Calmado,Trimix,Sí,No,No
43,11.4,86.5,29.0,123.9,82.6,Principiante,Calmado,Aire,Sí,Sí,Sí
44,33.7,75.3,11.8,200.1,71.2,Intermedio,Calmado,Aire,Sí,No,No
45,13.6,73.3,22.4,118.3,71.7,Intermedio,Calmado,Aire,Sí,Sí,Sí
46,17.5,89.1,17.5,168.1,76.3,Avanzado,Calmado,Nitrox,No,Sí,No
47,29.4,59.1,18.5,135.0,82.2,Intermedio,Agitado,Aire,Sí,Sí,Sí
48,7.4,28.2,23.0,48.0,81.7,Principiante,Moderado,Aire,Sí,Sí,Sí
49,43.9,20.9,29.4,57.2,77.8,Avanzado,Calmado,Trimix,No,Sí,No
50,25.7,64.1,23.9,143.1,82.6,Intermedio,Calmado,Aire,No,Sí,Sí
51,24.0,82.3,19.1,143.5,75.5,Principiante,Moderado,Aire,Sí,Sí,Sí
52,34.4,89.0,24.0,292.5,76.2,Intermedio,Calmado,Aire,Sí,Sí,No
53,53.0,70.8,22.3,290.6,78.7,Avanzado,Calmado,Trimix,Sí,Sí,No
54,39.6,30.5,21.9,114.1,89.4,Intermedio,Calmado,Aire,Sí,Sí,Sí
55,11.4,80.5,26.3,105.3,99.9,Intermedio,Agitado,Aire,Sí,No,No
56,28.5,29.0,29.1,63.5,64.6,Avanzado,Moderado,Aire,Sí,Sí,Sí
57,18.4,56.4,25.4,117.1,87.0,Principiante,Calmado,Aire,Sí,No,No
58,10.7,72.9,22.4,60.6,74.3,Intermedio,Moderado,Aire,Sí,Sí,Sí
59,20.9,83.3,17.0,136.8,85.7,Intermedio,Calmado,Nitrox,Sí,No,No
60,42.8,54.4,15.2,141.5,79.6,Avanzado,Calmado,Trimix,Sí,Sí,Sí
61,6.5,29.0,12.6,37.5,72.8,Principiante,Calmado,Aire,Sí,Sí,Sí
62,35.0,32.1,13.8,58.0,63.4,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
63,14.2,34.4,17.3,35.3,83.8,Principiante,Calmado,Aire,Sí,Sí,Sí
64,22.5,84.5,11.2,233.1,86.1,Principiante,Calmado,Aire,Sí,Sí,No
65,25.5,45.8,19.3,74.7,70.7,Intermedio,Moderado,Nitrox,Sí,No,No
66,12.7,51.3,20.7,60.8,75.4,Intermedio,Calmado,Aire,Sí,Sí,Sí
67,11.5,28.4,27.8,53.3,83.6,Principiante,Calmado,Aire,Sí,Sí,Sí
68,28.6,50.2,12.6,127.2,77.3,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
69,22.1,27.1,13.1,31.5,63.2,Avanzado,Calmado,Aire,Sí,Sí,Sí
70,30.7,48.7,29.6,137.8,68.0,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
71,8.4,66.8,28.6,69.8,81.4,Principiante,Calmado,Aire,Sí,Sí,Sí
72,22.7,37.0,12.3,75.5,75.8,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
73,18.4,29.4,11.3,61.6,86.4,Intermedio,Agitado,Aire,Sí,Sí,Sí
74,29.1,48.8,17.0,132.3,86.6,Avanzado,Agitado,Aire,Sí,Sí,Sí
75,17.0,71.9,21.5,120.6,62.8,Avanzado,Moderado,Nitrox,Sí,Sí,Sí
76,21.3,66.6,20.5,132.5,87.5,Principiante,Calmado,Aire,Sí,Sí,Sí
77,17.5,72.3,20.1,104.4,88.0,Intermedio,Calmado,Aire,Sí,No,No
78,33.5,63.9,16.7,178.8,85.9,Intermedio,Calmado,Aire,Sí,No,No
79,24.4,37.4,24.9,78.1,71.4,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
80,40.4,28.9,17.9,55.5,63.0,Avanzado,Moderado,Trimix,Sí,Sí,Sí
81,23.6,37.6,16.9,79.0,88.2,Intermedio,Calmado,Aire,Sí,Sí,Sí
82,32.6,55.4,22.2,160.4,77.4,Avanzado,Calmado,Nitrox,Sí,Sí,No
83,19.6,60.3,22.1,121.5,74.7,Avanzado,Calmado,Aire,No,Sí,Sí
84,24.7,78.7,12.5,194.2,97.4,Principiante,Agitado,Aire,Sí,Sí,No
85,11.7,76.2,10.1,119.5,78.0,Principiante,Calmado,Aire,No,Sí,Sí
86,23.6,35.7,19.0,69.9,73.5,Intermedio,Calmado,Aire,Sí,No,No
87,25.8,20.9,23.3,30.5,89.2,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
88,32.9,24.7,25.0,39.3,78.0,Avanzado,Calmado,Aire,Sí,Sí,Sí
89,11.6,74.3,19.1,85.7,78.8,Intermedio,Calmado,Aire,Sí,Sí,Sí
90,22.2,86.2,17.5,179.1,82.9,Principiante,Calmado,Aire,Sí,Sí,No
91,15.8,35.5,14.6,30.0,60.4,Avanzado,Moderado,Aire,Sí,Sí,Sí
92,12.5,37.0,24.4,44.3,86.6,Intermedio,Moderado,Aire,Sí,Sí,Sí
93,22.9,20.9,11.7,35.0,70.5,Principiante,Calmado,Aire,Sí,Sí,Sí
94,28.7,38.2,17.6,81.1,65.4,Avanzado,Calmado,Aire,Sí,Sí,Sí
95,33.7,73.5,12.8,250.7,79.7,Intermedio,Moderado,Aire,Sí,Sí,No
96,10.4,57.9,22.7,106.4,72.8,Principiante,Calmado,Aire,No,Sí,Sí
97,10.4,21.3,28.3,24.5,81.5,Principiante,Calmado,Aire,Sí,Sí,Sí
98,15.3,29.6,28.0,40.3,71.9,Avanzado,Moderado,Aire,Sí,Sí,Sí
99,26.5,56.3,10.9,65.5,74.8,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
100,18.9,70.3,15.9,135.1,79.5,Intermedio,Calmado,Aire,No,Sí,Sí
101,5.6,38.4,21.9,45.4,79.9,Principiante,Calmado,Aire,Sí,Sí,Sí
102,6.5,71.0,19.9,64.2,78.7,Principiante,Moderado,Aire,Sí,Sí,Sí
103,24.8,45.3,11.8,127.4,82.7,Intermedio,Agitado,Aire,Sí,Sí,Sí
104,32.0,76.5,23.2,147.2,87.0,Intermedio,Moderado,Aire,Sí,Sí,Sí
105,16.6,69.4,28.5,124.1,71.4,Avanzado,Calmado,Aire,Sí,Sí,Sí
106,23.5,88.0,28.9,267.3,87.2,Principiante,Calmado,Aire,Sí,Sí,No
107,16.9,36.1,12.4,58.6,83.9,Principiante,Calmado,Aire,Sí,Sí,Sí
108,29.8,42.3,22.5,75.7,82.3,Intermedio,Moderado,Aire,Sí,No,No
109,22.5,57.0,28.8,113.1,90.0,Principiante,Moderado,Aire,Sí,Sí,Sí
110,31.8,88.9,25.4,260.9,78.4,Intermedio,Calmado,Aire,Sí,Sí,No
111,17.4,36.4,10.8,54.6,89.8,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
112,24.0,75.0,11.8,246.5,87.6,Principiante,Calmado,Aire,Sí,Sí,No
113,24.8,36.2,28.9,89.1,82.2,Principiante,Moderado,Aire,Sí,Sí,Sí
114,8.7,74.6,17.0,129.8,89.4,Principiante,Calmado,Aire,No,No,No
115,12.9,73.1,23.9,89.5,86.3,Principiante,Calmado,Aire,Sí,Sí,Sí
116,12.3,81.4,15.3,147.2,87.8,Intermedio,Calmado,Aire,Sí,Sí,Sí
117,12.2,48.6,17.5,62.7,84.5,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
118,31.3,54.7,19.6,114.6,86.5,Intermedio,Calmado,Aire,Sí,Sí,Sí
119,22.6,75.8,23.2,203.9,87.3,Principiante,Moderado,Aire,Sí,Sí,No
120,28.8,31.1,27.6,90.0,70.6,Intermedio,Moderado,Aire,Sí,Sí,Sí
121,39.5,78.2,20.1,211.2,65.7,Avanzado,Calmado,Nitrox,No,Sí,No
122,17.7,57.8,25.6,116.0,85.2,Principiante,Calmado,Aire,No,Sí,Sí
123,13.1,85.6,23.8,135.9,76.0,Intermedio,Calmado,Aire,Sí,Sí,Sí
124,11.1,81.0,29.5,68.1,95.0,Intermedio,Agitado,Nitrox,Sí,Sí,Sí
125,11.5,54.2,25.4,65.7,78.9,Principiante,Moderado,Aire,No,Sí,Sí
126,29.9,68.6,14.4,180.8,83.6,Intermedio,Calmado,Aire,Sí,No,No
127,13.6,86.1,18.4,114.7,78.0,Principiante,Moderado,Aire,No,Sí,Sí
128,21.4,22.2,23.0,33.8,77.3,Avanzado,Calmado,Aire,No,Sí,Sí
129,38.1,79.1,25.2,113.1,62.6,Avanzado,Moderado,Aire,No,Sí,No
130,18.5,28.8,23.7,40.4,64.0,Avanzado,Calmado,Aire,Sí,Sí,Sí
131,21.0,41.7,19.1,82.2,71.4,Principiante,Calmado,Aire,Sí,Sí,Sí
132,18.9,80.2,25.6,107.3,79.6,Principiante,Calmado,Aire,Sí,No,No
133,15.0,63.3,24.0,94.3,70.2,Principiante,Calmado,Aire,Sí,Sí,Sí
134,12.0,47.8,12.7,77.1,83.8,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
135,17.7,69.5,10.6,139.5,81.0,Principiante,Agitado,Aire,Sí,No,No
136,28.6,77.0,11.6,187.5,71.0,Avanzado,Moderado,Aire,Sí,Sí,No
137,12.4,24.2,14.9,24.0,87.4,Intermedio,Calmado,Aire,No,Sí,Sí
138,20.8,66.1,20.0,109.3,84.4,Principiante,Calmado,Aire,No,No,No
139,27.0,25.1,10.6,71.3,79.3,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
140,19.3,89.1,10.8,144.3,81.6,Intermedio,Moderado,Aire,Sí,Sí,Sí
141,31.9,39.4,21.8,90.5,74.2,Avanzado,Agitado,Nitrox,Sí,Sí,Sí
142,19.3,83.6,13.6,124.6,89.4,Principiante,Calmado,Aire,Sí,Sí,Sí
143,22.4,51.2,20.3,82.6,81.9,Principiante,Calmado,Aire,Sí,No,No
144,18.1,42.8,25.5,80.9,89.4,Principiante,Calmado,Aire,Sí,Sí,Sí
145,15.4,43.6,26.6,85.3,75.0,Principiante,Calmado,Aire,Sí,Sí,Sí
146,5.7,71.5,23.3,99.2,86.9,Principiante,Calmado,Aire,Sí,No,No
147,7.2,38.9,11.1,28.3,88.7,Principiante,Calmado,Aire,Sí,Sí,Sí
148,30.2,22.9,13.0,26.3,89.3,Avanzado,Agitado,Nitrox,No,Sí,No
149,30.5,54.2,23.3,90.9,60.6,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
150,12.8,67.1,18.9,104.0,73.5,Intermedio,Moderado,Nitrox,Sí,No,No
151,25.4,80.8,21.4,194.0,88.6,Intermedio,Calmado,Aire,Sí,Sí,No
152,26.3,27.5,23.2,82.0,81.0,Intermedio,Agitado,Aire,Sí,No,No
153,37.2,81.5,18.1,241.1,73.4,Avanzado,Calmado,Nitrox,Sí,Sí,No
154,13.6,58.1,10.1,72.9,77.3,Intermedio,Calmado,Aire,Sí,Sí,Sí
155,19.3,35.9,11.5,67.6,83.4,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
156,29.4,21.8,16.8,45.5,68.0,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
157,43.7,86.9,10.4,260.6,60.2,Avanzado,Calmado,Trimix,Sí,Sí,No
158,43.0,44.6,12.0,95.6,65.1,Avanzado,Calmado,Trimix,Sí,Sí,Sí
159,25.3,70.1,15.5,104.9,72.4,Intermedio,Calmado,Aire,Sí,Sí,Sí
160,13.2,59.7,15.1,102.0,89.7,Intermedio,Agitado,Aire,Sí,Sí,Sí
161,28.0,77.3,27.7,187.6,74.2,Intermedio,Calmado,Nitrox,Sí,Sí,No
162,22.1,74.6,15.5,135.8,68.5,Avanzado,Moderado,Aire,Sí,Sí,Sí
163,14.2,71.6,27.3,59.8,71.9,Intermedio,Calmado,Aire,Sí,Sí,Sí
164,19.8,61.6,19.9,125.0,82.7,Intermedio,Agitado,Aire,Sí,Sí,Sí
165,44.7,29.0,12.1,63.4,71.6,Avanzado,Moderado,Trimix,Sí,Sí,Sí
166,24.7,35.9,17.1,38.9,70.4,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
167,29.5,57.3,16.5,187.9,83.4,Intermedio,Calmado,Aire,Sí,Sí,No
168,16.8,59.4,29.2,58.7,73.8,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
169,20.4,66.5,25.9,107.7,84.7,Intermedio,Agitado,Nitrox,Sí,No,No
170,40.3,56.5,22.5,95.9,75.1,Avanzado,Calmado,Trimix,Sí,Sí,Sí
171,24.1,38.4,17.2,67.9,78.7,Avanzado,Calmado,Aire,Sí,Sí,Sí
172,22.9,84.4,19.9,121.5,97.0,Intermedio,Agitado,Aire,No,Sí,Sí
173,41.3,80.8,26.1,131.7,66.1,Avanzado,Moderado,Trimix,Sí,Sí,Sí
174,34.4,64.9,26.4,229.0,87.2,Intermedio,Calmado,Aire,Sí,Sí,No
175,30.1,47.9,12.9,56.5,61.4,Avanzado,Calmado,Nitrox,Sí,No,No
176,23.0,41.8,20.1,90.2,72.1,Intermedio,Calmado,Aire,Sí,Sí,Sí
177,11.5,74.7,19.2,58.2,89.9,Intermedio,Calmado,Nitrox,Sí,No,No
178,7.8,28.5,16.1,22.2,83.8,Principiante,Calmado,Aire,Sí,No,No
179,24.2,63.7,20.5,143.8,62.6,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
180,30.7,71.4,25.4,166.8,78.3,Intermedio,Calmado,Aire,Sí,Sí,No
181,31.1,35.1,10.2,90.0,79.5,Avanzado,Calmado,Nitrox,No,Sí,No
182,16.0,51.8,26.9,66.0,79.8,Principiante,Calmado,Aire,Sí,Sí,Sí
183,19.9,52.2,25.7,113.4,89.1,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
184,31.0,22.7,28.0,61.7,82.7,Intermedio,Calmado,Aire,Sí,Sí,Sí
185,23.0,30.5,24.7,35.6,83.6,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
186,6.4,20.8,29.1,19.7,77.1,Principiante,Moderado,Aire,Sí,Sí,Sí
187,14.4,26.9,23.2,22.6,75.3,Intermedio,Moderado,Nitrox,Sí,No,No
188,20.4,63.7,17.6,148.9,72.4,Principiante,Calmado,Aire,Sí,Sí,Sí
189,34.2,75.9,15.9,209.5,92.0,Intermedio,Agitado,Aire,Sí,Sí,No
190,18.5,85.0,14.5,134.0,78.6,Intermedio,Calmado,Aire,Sí,No,No
191,7.4,33.8,27.7,52.3,75.7,Principiante,Moderado,Aire,Sí,Sí,Sí
192,37.7,52.2,26.8,140.0,75.5,Avanzado,Moderado,Aire,Sí,Sí,Sí
193,16.7,31.5,12.6,31.5,76.4,Avanzado,Moderado,Aire,Sí,Sí,Sí
194,32.7,55.6,16.0,155.4,73.8,Avanzado,Calmado,Nitrox,Sí,Sí,No
195,14.2,20.7,14.9,23.0,89.8,Principiante,Moderado,Aire,Sí,Sí,Sí
196,16.1,71.3,22.3,162.0,77.1,Principiante,Calmado,Aire,Sí,Sí,No
197,37.4,34.2,29.2,56.2,66.5,Avanzado,Calmado,Nitrox,Sí,No,No
198,28.5,70.5,27.7,124.5,67.8,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
199,29.9,26.5,21.8,38.7,82.8,Intermedio,Calmado,Aire,Sí,Sí,Sí
200,26.9,76.3,15.4,104.7,80.0,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
201,38.7,56.2,18.8,128.0,66.6,Avanzado,Calmado,Aire,Sí,Sí,Sí
202,40.0,85.3,22.9,309.7,82.7,Intermedio,Calmado,Aire,Sí,Sí,No
203,32.2,61.1,13.7,75.9,66.7,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
204,15.4,40.9,28.8,96.0,78.6,Principiante,Calmado,Aire,Sí,Sí,Sí
205,29.5,29.3,11.6,54.3,69.9,Avanzado,Moderado,Aire,Sí,Sí,Sí
206,17.2,29.5,25.0,35.4,89.1,Principiante,Moderado,Aire,Sí,Sí,Sí
207,9.9,83.4,15.0,111.2,85.2,Principiante,Calmado,Aire,Sí,Sí,Sí
208,11.6,83.5,12.8,91.4,78.2,Intermedio,Calmado,Aire,Sí,Sí,Sí
209,26.8,85.6,11.0,220.1,75.2,Intermedio,Calmado,Aire,No,Sí,No
210,24.1,52.5,29.4,69.9,77.0,Intermedio,Moderado,Nitrox,Sí,Sí,Sí
211,22.0,59.3,20.5,158.2,87.2,Principiante,Calmado,Aire,Sí,Sí,No
212,21.5,53.9,13.3,113.4,97.0,Intermedio,Agitado,Aire,Sí,Sí,Sí
213,11.6,55.9,26.1,87.7,71.0,Intermedio,Calmado,Aire,Sí,Sí,Sí
214,11.6,73.0,20.4,146.3,87.6,Principiante,Calmado,Aire,Sí,Sí,Sí
215,33.2,21.9,11.3,57.0,88.2,Intermedio,Calmado,Aire,Sí,Sí,Sí
216,21.4,74.3,29.3,111.3,80.5,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
217,21.9,84.1,20.7,195.8,83.9,Intermedio,Calmado,Nitrox,Sí,No,No
218,44.5,29.8,14.0,91.2,77.9,Avanzado,Calmado,Trimix,Sí,Sí,Sí
219,32.1,76.3,20.1,265.1,88.4,Intermedio,Agitado,Aire,Sí,Sí,No
220,22.6,49.9,13.2,116.5,81.2,Principiante,Calmado,Aire,Sí,No,No
221,19.6,33.1,27.2,80.9,80.8,Principiante,Moderado,Aire,Sí,Sí,Sí
222,25.7,54.6,26.6,114.2,63.5,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
223,7.8,44.4,19.0,61.1,83.0,Principiante,Moderado,Aire,Sí,Sí,Sí
224,29.0,28.8,23.5,41.4,83.7,Intermedio,Calmado,Aire,Sí,No,No
225,21.7,39.5,22.9,73.0,80.3,Principiante,Moderado,Aire,Sí,Sí,Sí
226,33.5,81.0,25.3,163.3,83.3,Intermedio,Moderado,Aire,No,Sí,No
227,21.2,52.2,27.3,133.8,77.6,Intermedio,Calmado,Aire,Sí,Sí,Sí
228,19.8,84.3,15.6,237.8,75.8,Principiante,Moderado,Aire,Sí,Sí,No
229,24.3,70.9,16.1,224.6,75.6,Principiante,Moderado,Aire,Sí,Sí,No
230,16.0,20.9,19.4,26.2,82.0,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
231,23.1,79.7,23.4,134.9,87.8,Principiante,Calmado,Aire,Sí,Sí,Sí
232,32.5,89.7,27.1,242.7,61.3,Avanzado,Calmado,Nitrox,Sí,Sí,No
233,23.2,66.8,26.6,157.6,81.4,Principiante,Moderado,Aire,Sí,Sí,No
234,28.1,82.5,18.9,197.8,82.6,Intermedio,Moderado,Nitrox,Sí,Sí,No
235,19.6,54.1,23.0,112.9,92.0,Intermedio,Agitado,Aire,Sí,Sí,Sí
236,10.1,45.3,19.4,51.5,72.8,Principiante,Calmado,Aire,No,Sí,Sí
237,25.3,39.6,14.1,47.1,70.1,Intermedio,Calmado,Aire,Sí,Sí,Sí
238,11.8,76.2,21.4,159.3,75.9,Principiante,Calmado,Aire,Sí,Sí,No
239,18.6,55.5,27.5,131.7,84.0,Intermedio,Calmado,Aire,Sí,Sí,Sí
240,20.3,83.5,24.3,188.5,76.2,Intermedio,Moderado,Aire,No,Sí,No
241,17.7,23.6,15.2,53.1,82.1,Principiante,Calmado,Aire,Sí,Sí,Sí
242,13.0,49.3,25.0,57.9,71.6,Intermedio,Calmado,Aire,No,Sí,Sí
243,24.8,20.7,22.7,55.5,92.3,Intermedio,Agitado,Aire,Sí,Sí,Sí
244,31.0,29.9,10.2,60.1,65.9,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
245,16.2,44.0,24.6,94.0,86.9,Principiante,Moderado,Aire,Sí,Sí,Sí
246,11.1,75.2,18.9,145.1,86.4,Principiante,Moderado,Aire,No,Sí,Sí
247,19.3,62.1,24.1,75.8,77.5,Intermedio,Moderado,Aire,Sí,Sí,Sí
248,19.6,21.8,22.9,20.2,66.8,Avanzado,Moderado,Nitrox,Sí,Sí,Sí
249,19.1,35.3,29.8,41.5,83.8,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
250,21.5,22.7,10.6,24.7,73.2,Intermedio,Calmado,Aire,Sí,Sí,Sí
251,23.0,28.1,29.1,70.6,87.8,Principiante,Calmado,Aire,Sí,No,No
252,24.2,47.3,17.7,79.7,80.8,Principiante,Calmado,Aire,Sí,Sí,Sí
253,32.6,41.2,15.2,75.3,61.2,Avanzado,Calmado,Aire,Sí,No,No
254,24.5,29.7,18.9,54.7,79.8,Intermedio,Moderado,Nitrox,No,No,No
255,25.5,34.1,17.9,73.2,79.5,Intermedio,Calmado,Nitrox,Sí,No,No
256,31.0,80.9,12.6,205.9,62.5,Avanzado,Moderado,Nitrox,Sí,No,No
257,28.9,88.7,19.7,152.8,71.8,Avanzado,Moderado,Nitrox,Sí,Sí,No
258,30.3,54.5,21.5,100.3,79.6,Avanzado,Moderado,Nitrox,Sí,Sí,Sí
259,16.0,27.6,27.1,56.0,86.9,Intermedio,Calmado,Aire,Sí,No,No
260,25.7,84.8,10.4,210.3,83.8,Intermedio,Calmado,Aire,Sí,Sí,No
261,12.2,76.3,15.6,68.7,89.1,Principiante,Calmado,Aire,No,Sí,Sí
262,15.4,71.7,26.7,109.9,62.9,Avanzado,Moderado,Nitrox,Sí,Sí,Sí
263,39.5,26.2,19.8,59.2,68.2,Avanzado,Calmado,Aire,Sí,Sí,Sí
264,21.2,86.3,11.4,156.1,90.5,Principiante,Agitado,Aire,Sí,Sí,No
265,16.5,25.1,18.1,26.8,64.6,Avanzado,Calmado,Nitrox,Sí,No,No
266,19.6,53.4,14.5,100.4,89.6,Intermedio,Moderado,Aire,Sí,Sí,Sí
267,22.8,55.2,19.0,80.2,82.5,Principiante,Calmado,Aire,Sí,Sí,Sí
268,47.2,58.7,20.4,133.9,75.5,Avanzado,Calmado,Trimix,Sí,Sí,Sí
269,17.6,23.8,25.0,46.4,70.0,Principiante,Calmado,Aire,Sí,Sí,Sí
270,40.2,20.3,14.9,33.3,66.3,Avanzado,Moderado,Trimix,Sí,Sí,Sí
271,38.7,82.4,18.7,278.1,77.5,Avanzado,Agitado,Nitrox,Sí,Sí,No
272,25.8,69.3,10.1,165.4,84.3,Intermedio,Calmado,Nitrox,No,Sí,No
273,23.9,27.4,25.6,40.5,61.0,Avanzado,Moderado,Aire,No,Sí,Sí
274,15.2,45.8,17.4,62.5,85.4,Intermedio,Calmado,Aire,Sí,No,No
275,18.1,53.1,27.6,114.1,83.6,Principiante,Calmado,Aire,Sí,Sí,Sí
276,19.5,65.1,17.9,149.5,74.0,Intermedio,Moderado,Aire,Sí,Sí,Sí
277,7.2,56.1,15.4,60.5,70.3,Principiante,Moderado,Aire,Sí,Sí,Sí
278,13.3,54.5,18.1,51.6,81.9,Principiante,Calmado,Aire,Sí,No,No
279,17.8,74.2,25.5,81.7,89.5,Intermedio,Calmado,Nitrox,Sí,Sí,Sí
280,23.0,21.2,15.9,30.2,70.4,Avanzado,Moderado,Aire,Sí,Sí,Sí
281,17.9,88.2,26.9,214.1,88.0,Principiante,Calmado,Aire,Sí,Sí,No
282,11.6,36.0,14.9,44.3,84.9,Intermedio,Calmado,Nitrox,Sí,No,No
283,44.7,58.1,29.3,120.5,67.3,Avanzado,Calmado,Trimix,Sí,Sí,Sí
284,27.3,30.3,26.2,75.8,77.8,Intermedio,Moderado,Aire,Sí,Sí,Sí
285,29.1,82.3,24.2,92.2,62.9,Avanzado,Calmado,Nitrox,Sí,Sí,Sí
286,24.2,57.1,14.8,87.0,83.6,Principiante,Calmado,Aire,Sí,Sí,Sí
